timestamp,frame_id,class_id,class_name,confidence,x1,y1,x2,y2,inference_ms,end_to_end_fps
1788286862.8019514,68,2,mouse,0.87771,244.43,61.03,603.10,398.33,48.447,7.500
1788286862.9378595,69,2,mouse,0.97101,0.00,107.54,244.53,337.07,48.645,7.500
1788286862.9383764,69,2,mouse,0.91533,238.11,51.42,551.26,387.46,48.645,7.500
1788286863.069377,70,2,mouse,0.98029,0.01,108.70,247.17,329.69,48.253,7.500
1788286863.0699224,70,2,mouse,0.94590,240.47,52.43,554.40,382.78,48.253,7.500
1788286863.2015295,71,2,mouse,0.97395,0.06,108.28,249.27,325.01,48.441,7.500
1788286863.2020707,71,2,mouse,0.91523,243.09,43.74,556.08,377.90,48.441,7.500
1788286863.3375404,72,2,mouse,0.98515,0.52,104.96,262.18,321.94,48.341,7.500
1788286863.3381364,72,2,mouse,0.89776,253.97,40.27,605.79,378.38,48.341,7.500
1788286863.469465,73,2,mouse,0.90547,309.88,41.72,637.17,389.55,48.376,7.500
1788286863.469982,73,2,mouse,0.71051,22.05,98.22,300.31,325.22,48.376,7.500
1788286863.6013803,74,2,mouse,0.79946,417.46,48.92,640.00,427.92,48.002,7.499
1788286863.7375262,75,2,mouse,0.90657,183.06,72.84,460.80,320.66,48.325,7.500
1788286863.7381008,75,2,mouse,0.78995,466.76,38.00,640.00,408.95,48.325,7.500
1788286863.8698742,76,2,mouse,0.96535,143.63,74.69,468.69,322.38,48.214,7.500
1788286863.87037,76,2,mouse,0.85379,471.20,52.55,640.00,410.92,48.214,7.500
1788286863.8708434,76,2,mouse,0.57485,0.08,1.18,228.03,381.10,48.214,7.500
1788286864.0020595,77,2,mouse,0.96157,142.41,76.89,464.80,322.96,48.514,7.500
1788286864.0025582,77,2,mouse,0.84470,466.52,54.97,639.90,427.81,48.514,7.500
1788286864.0030217,77,2,mouse,0.64590,0.00,3.45,225.77,381.39,48.514,7.500
1788286864.1382933,78,2,mouse,0.96461,136.09,77.68,457.93,319.84,48.556,7.500
1788286864.138781,78,2,mouse,0.83586,457.21,48.71,640.00,419.63,48.556,7.500
1788286864.1392388,78,2,mouse,0.63376,0.00,1.95,213.38,380.31,48.556,7.500
1788286864.2699902,79,2,mouse,0.96208,131.78,77.40,450.57,317.91,48.517,7.500
1788286864.270482,79,2,mouse,0.84267,450.90,46.48,640.00,417.45,48.517,7.500
1788286864.2709382,79,2,mouse,0.63979,0.00,0.59,219.32,379.54,48.517,7.500
1788286864.401702,80,2,mouse,0.95592,121.63,80.81,437.21,322.23,48.280,7.500
1788286864.4022565,80,2,mouse,0.85011,439.90,51.18,639.31,429.16,48.280,7.500
1788286864.402712,80,2,mouse,0.64161,0.00,6.41,178.38,381.85,48.280,7.500
1788286864.5379288,81,2,mouse,0.96234,120.80,84.43,432.36,320.34,48.304,7.501
1788286864.538456,81,2,mouse,0.90065,432.27,51.06,639.08,426.92,48.304,7.501
1788286864.5389395,81,2,mouse,0.60548,0.00,34.57,204.79,386.23,48.304,7.501
1788286864.6690032,82,2,mouse,0.79936,433.02,40.65,639.19,383.07,48.446,7.500
1788286864.8019674,83,2,mouse,0.83477,156.51,8.81,445.78,278.17,48.542,7.500
1788286864.8024657,83,2,mouse,0.73616,448.16,0.34,640.00,373.31,48.542,7.500
1788286864.8029134,83,2,mouse,0.37921,1.01,414.80,636.78,479.29,48.542,7.500
1788286864.937752,84,2,mouse,0.87871,448.19,36.80,640.00,386.72,48.281,7.499
1788286864.9383197,84,2,mouse,0.84364,153.38,56.39,447.03,293.61,48.281,7.499
1788286865.0689251,85,2,mouse,0.82561,248.84,26.45,489.86,274.94,48.192,7.501
1788286865.0694413,85,2,mouse,0.52334,0.44,1.45,97.85,251.28,48.192,7.501
1788286865.2014003,86,2,mouse,0.82742,517.09,1.40,640.00,315.79,48.091,7.500
1788286865.2019756,86,2,mouse,0.71216,274.90,11.85,518.94,254.11,48.091,7.500
1788286865.3379622,87,2,mouse,0.81001,499.87,1.80,640.00,326.11,48.341,7.500
1788286865.3384976,87,2,mouse,0.77373,235.02,13.56,493.77,249.36,48.341,7.500
1788286865.3389704,87,2,mouse,0.49721,1.35,362.54,640.00,479.31,48.341,7.500
1788286865.4698565,88,2,mouse,0.83929,469.71,0.94,640.00,331.31,48.469,7.500
1788286865.470359,88,2,mouse,0.69708,227.46,18.99,468.49,253.69,48.469,7.500
1788286865.4708157,88,2,mouse,0.61899,3.88,365.25,640.00,479.24,48.469,7.500
1788286865.601811,89,2,mouse,0.91896,447.22,3.25,639.93,323.96,48.014,7.500
1788286865.6023452,89,2,mouse,0.87937,183.01,28.09,448.07,254.98,48.014,7.500
1788286865.6027975,89,2,mouse,0.66032,19.08,363.82,640.00,479.42,48.014,7.500
1788286865.738143,90,2,mouse,0.90269,431.34,0.65,639.98,317.26,48.495,7.500
1788286865.738649,90,2,mouse,0.86352,176.62,33.22,434.05,253.46,48.495,7.500
1788286865.7391214,90,2,mouse,0.68938,17.65,363.30,640.00,479.43,48.495,7.500
1788286865.8699346,91,2,mouse,0.94410,417.40,0.27,640.00,315.23,48.195,7.501
1788286865.8704522,91,2,mouse,0.88897,164.65,38.66,423.20,254.42,48.195,7.501
1788286865.870923,91,2,mouse,0.62173,0.00,362.61,634.01,480.00,48.195,7.501
1788286865.8713822,91,2,mouse,0.41710,1.04,78.60,229.35,308.45,48.195,7.501
1788286866.0021098,92,2,mouse,0.93944,414.23,0.57,640.00,317.51,48.168,7.500
1788286866.0025969,92,2,mouse,0.88191,157.84,35.31,419.40,255.61,48.168,7.500
